3502009,Robert F Morehead Middle Schoo,DOLLARWAY SCHOOL DISTRICT,5-9,N/A,313,3,14,N/A
3502010,Dollarway High School,DOLLARWAY SCHOOL DISTRICT,9-12,N/A,319,3,9,N/A
3502006,Matthews Elementary School,DOLLARWAY SCHOOL DISTRICT,K-4,N/A,443,3,21,N/A
5802008,Dover Middle School,DOVER SCHOOL DISTRICT,5-8,N/A,424,3,16,N/A
5802006,Dover High School,DOVER SCHOOL DISTRICT,9-12,N/A,429,3,11,N/A
5802009,Dover Elementary School,DOVER SCHOOL DISTRICT,K-4,N/A,500,3,20,N/A
2202007,Drew Central Middle School,DREW CENTRAL SCHOOL DISTRICT,5-8,N/A,310,3,17,N/A
2202005,Drew Central High School,DREW CENTRAL SCHOOL DISTRICT,9-12,N/A,284,3,8,N/A
2202004,Drew Central Elem. School,DREW CENTRAL SCHOOL DISTRICT,K-4,N/A,384,3,20,N/A
2104021,Dumas High School,DUMAS SCHOOL DISTRICT,10-12,N/A,315,4,14,N/A
2104024,Reed Elementary School,DUMAS SCHOOL DISTRICT,3-6,N/A,381,4,17,N/A
2104020,Dumas Junior High School,DUMAS SCHOOL DISTRICT,7-9,N/A,289,4,14,N/A
2104017,Central Elementary School,DUMAS SCHOOL DISTRICT,K-2,N/A,292,4,16,N/A
